Afghanistan	Afghanis	0.010752	£5,215.00	£80.80	 
Aland Islands	Euro	0.848248	£26,065.00	£404.00	 
Albania	Leke	0.0084	£10,430.00	£161.60	 
Algeria	Algerian Dinar	0.005828	£10,430.00	£161.60	 
American Samoa	U.S. Dollar	0.782044	£31,280.00	£484.80	 
Andorra	Euro	0.848248	£20,855.00	£323.20	 
Angola	Kwanza	0.000893	£10,430.00	£161.60	 
Anguilla	East Caribbean Dollar	0.289452	£26,065.00	£404.00	 
Antarctica	U.S. Dollar	0.782044	£26,065.00	£404.00	 
Antigua and Barbuda	East Caribbean Dollar	0.289452	£20,855.00	£323.20	 
Argentina	Argentine Peso	0.000869	£15,640.00	£242.40	 
Armenia	Dram	0.001993	£10,430.00	£161.60	 
Aruba	Aruban Guilder	0.43691	£26,065.00	£404.00	 
Australia	Australian Dollar	0.518403	£31,280.00	£484.80	 
Austria	Euro	0.848248	£26,065.00	£404.00	 
Azerbaijan	Azerbaijanian Manat	0.459939	£10,430.00	£161.60	 
Bahamas	Bahamian Dollar	0.782044	£31,280.00	£484.80	 
Bahrain	Bahrain Dinar	2.079867	£15,640.00	£242.40	 
Bangladesh	Taka	0.006806	£10,430.00	£161.60	 
Barbados	Barbados Dollar	0.391037	£36,495.00	£565.60	 
Belarus	Belarusian Ruble	0.23888	£10,430.00	£161.60	 
Belgium	Euro	0.848248	£26,065.00	£404.00	 
Belize	Belizean Dollar	0.387342	£15,640.00	£242.40	 
Benin	CFA Franc (BEAC)	0.001293	£10,430.00	£161.60	 
Bermuda	Bermudian Dollar	0.782044	£36,495.00	£565.60	 
Bhutan	Bhutanese Ngultrum	0.009361	£10,430.00	£161.60	 
Bolivia	Boliviano	0.113228	£10,430.00	£161.60	 
Bonaire, Saint Eustatius and Saba	U.S. Dollar	0.782044	£26,065.00	£404.00	 
Bosnia and Herzegovina	Convertible Marka	0.433727	£10,430.00	£161.60	 
Botswana	Pula	0.057813	£10,430.00	£161.60	 
Bouvet Island	Norwegian Krone	0.073267	£26,065.00	£404.00	 
Brazil	Brazilian Real	0.147826	£15,640.00	£242.40	 
British Indian Ocean Territory	U.S. Dollar	0.782044	£26,065.00	£404.00	 
Brunei	Brunei Dollar	0.58548	£10,430.00	£161.60	 
Bulgaria	Bulgarian Lev	0.433727	£10,430.00	£161.60	 
Burkina Faso	CFA Franc (BEAC)	0.001293	£10,430.00	£161.60	 
Burundi	Burundi Franc	0.000272	£5,215.00	£80.80	 
Cambodia	Riel	0.000192	£10,430.00	£161.60	 
Cameroon	CFA Franc (BEAC)	0.001293	£10,430.00	£161.60	 
Canada	Canadian Dollar	0.572705	£26,065.00	£404.00	 
Cape Verde	Cape Verde Escudo	0.007693	£15,640.00	£242.40	 
Cayman Islands	Cayman Islands Dollar	0.951656	£36,495.00	£565.60	 
Central African Republic	CFA Franc (BEAC)	0.001293	£10,430.00	£161.60	 
Chad	CFA Franc (BEAC)	0.001293	£10,430.00	£161.60	 
Channel Islands	British Pound	1	£26,065.00	£404.00	 
Chile	Chilean Peso	0.000836	£15,640.00	£242.40	 
China	Yuan Renminbi	0.10879	£15,640.00	£242.40	 
Christmas Island	Australian Dollar	0.518403	£31,280.00	£484.80	 
Cocos (Keeling) Islands	Australian Dollar	0.518403	£31,280.00	£484.80	 
Colombia	Colombian Peso	0.000194	£10,430.00	£161.60	 
Comoros	Comorian Franc	0.001724	£10,430.00	£161.60	 
Congo	Congolese Franc	0.000279	£10,430.00	£161.60	 
Congo, Democratic Republic of	Congolese Franc	0.000279	£10,430.00	£161.60	 
Cook Islands	New Zealand Dollar	0.476372	£26,065.00	£404.00	 
Costa Rica	Costa Rican Colon	0.001519	£20,855.00	£323.20	 
Cote d’Ivoire	CFA Franc (BEAC)	0.001293	£10,430.00	£161.60	 
Croatia	Euro	0.848248	£15,640.00	£242.40	 
Cuba	Cuban Peso	0.032163	£15,640.00	£242.40	 
Curacao	Antillean Guilder	0.437573	£26,065.00	£404.00	 
Cyprus	Euro	0.848248	£20,855.00	£323.20	 
Czech Republic	Czech Koruna	0.033833	£15,640.00	£242.40	 
Denmark	Danish Krone	0.113724	£26,065.00	£404.00	 
Djibouti	Djiboutian Franc	0.004396	£15,640.00	£242.40	 
Dominica	East Caribbean Dollar	0.289452	£15,640.00	£242.40	 
Dominican Republic	Dominican Peso	0.013221	£15,640.00	£242.40	 
Ecuador	U.S. Dollar	0.782044	£10,430.00	£161.60	 
Egypt	Egyptian Pound	0.017795	£5,215.00	£80.80	 
El Salvador	U.S. Dollar	0.782044	£15,640.00	£242.40	 
Equatorial Guinea	CFA Franc (BEAC)	0.001293	£10,430.00	£161.60	 
Eritrea	Nafka	0.052138	£10,430.00	£161.60	 
Estonia	Euro	0.848248	£20,855.00	£323.20	 
Ethiopia	Ethiopian Birr	0.010126	£15,640.00	£242.40	 
Faeroe Islands	Danish Krone	0.113724	£26,065.00	£404.00	 
Falkland Islands	Falkland Pound	1	£26,065.00	£404.00	 
Federated States of Micronesia	U.S. Dollar	0.782044	£31,280.00	£484.80	 
Fiji	Fiji Dollar	0.348663	£10,430.00	£161.60	 
Finland	Euro	0.848248	£26,065.00	£404.00	 
France	Euro	0.848248	£20,855.00	£323.20	 
French Guiana	Euro	0.848248	£20,855.00	£323.20	 
French Polynesia	CFP Franc	0.007109	£26,065.00	£404.00	 
French Southern Territories	Euro	0.848248	£20,855.00	£323.20	 
Gabon	CFA Franc (BEAC)	0.001293	£10,430.00	£161.60	 
Gambia	Dalasi	0.011399	£10,430.00	£161.60	 
Georgia	Lari	0.288825	£10,430.00	£161.60	 
Germany	Euro	0.848248	£26,065.00	£404.00	 
Ghana	Ghanaian Cedi	0.054724	£10,430.00	£161.60	 
Gibraltar	British Pound	1	£26,065.00	£404.00	 
Greece	Euro	0.848248	£15,640.00	£242.40	 
Greenland	Danish Krone	0.113724	£26,065.00	£404.00	 
Grenada	East Caribbean Dollar	0.289452	£20,855.00	£323.20	 
Guadeloupe	Euro	0.848248	£20,855.00	£323.20	 
Guam	U.S. Dollar	0.782044	£31,280.00	£484.80	 
Guatemala	Quetzal	0.100714	£10,430.00	£161.60	 
Guinea	Guinean Franc	0.000091	£10,430.00	£161.60	 
Guinea-Bissau	CFA Franc (BCEAO)	0.001293	£10,430.00	£161.60	 
Guyana	Guyanese Dollar	0.003746	£10,430.00	£161.60	 
Haiti	Gourde	0.005918	£15,640.00	£242.40	 
Heard and McDonald Islands	Australian Dollar	0.518403	£31,280.00	£484.80	 
Holy See (Vatican City State)	Euro	0.848248	£20,855.00	£323.20	 
Honduras	Lempira	0.031562	£15,640.00	£242.40	 
Hong Kong	Hong  Kong Dollar	0.100195	£20,855.00	£323.20	 
Hungary	Forint	0.002158	£15,640.00	£242.40	 
Iceland	Icelandic Krona	0.00567	£31,280.00	£484.80	 
India	Indian Rupee	0.009361	£5,215.00	£80.80	 
Indonesia	Indonesian  Rupiah	0.000049	£10,430.00	£161.60	 
Iran	Iranian Rial	0.000025	£10,430.00	£161.60	 
Iraq	Iraqi Dinar	0.000598	£10,430.00	£161.60	 
